Timestamp,How often do you buy coffee on campus?  ,What time do you usually buy coffee?,Where do you usually buy coffee on or near campus?  ,How much usually do you wait for your coffee order?,What problems do you usually face when buying coffee on campus? (select all that apply),How satisfied are you on scale from 1 to 5 with the current coffee options on campus?  ,Have you heard about Samad's Coffee Station Telegram ordering bot?,"If yes, have you ever used it?","If you haven't used the Telegram bot, why not? (select all that apply)",What would encourage you to use the Telegram ordering bot?,How satisfied are you on scale from 1 to 5 with Samad's Coffee Station overall?,Any additional comments or suggestions? (new drinks or snack)
10/15/2025 23:32:26,3-4 times a week,Late morning (10:00–12:00),Samad's coffee,3-5 minutes,Too crowded during breaks,5,Yes,"No, but I plan to",I think it’s not working properly right now ,Faster service / skip the line,5,
10/15/2025 23:33:13,Rarely,Morning (8:00–10:00),Samad's coffee,3-5 minutes,"Too crowded during breaks, Price too high",4,Yes,"No, but I plan to",,"Discounts or loyalty rewards, Faster service / skip the line",5,
10/15/2025 23:35:33,Rarely,Afternoon (12:00–16:00),Samad's coffee,3-5 minutes,No problems,5,Yes,"No, but I plan to",,"Discounts or loyalty rewards, Faster service / skip the line, Option to customize drinks, Order history or favorites",5,
10/15/2025 23:35:50,Everyday,Morning (8:00–10:00),Safia,3-5 minutes,Too crowded during breaks,5,Yes,"No, but I plan to",I don't drink coffee often,Order history or favorites,4,
10/15/2025 23:36:34,Never,Morning (8:00–10:00),Safia,3-5 minutes,No problems,1,No,"No, not interested",It seems complicated,Discounts or loyalty rewards,1,
10/15/2025 23:37:39,1-2 times a week,Late morning (10:00–12:00),Samad's coffee,3-5 minutes,"Too crowded during breaks, Price too high",4,Yes,"No, but I plan to",I prefer to order in person,"Discounts or loyalty rewards, Faster service / skip the line",5,
10/15/2025 23:39:04,Rarely,Morning (8:00–10:00),Samad's coffee,1-2 minutes,Price too high,4,No,"No, but I plan to",I didn't know about it,Order history or favorites,4,
10/15/2025 23:45:16,1-2 times a week,Late morning (10:00–12:00),Safia,more than 5 minutes,"Too crowded during breaks, Price too high, Takes too much time",4,No,"No, not interested",I didn't know about it,Faster service / skip the line,4,
10/15/2025 23:48:34,1-2 times a week,Afternoon (12:00–16:00),Safia,3-5 minutes,No problems,3,Yes,"No, not interested",I prefer to order in person,Discounts or loyalty rewards,4,
10/15/2025 23:50:44,Rarely,Late morning (10:00–12:00),Samad's coffee,3-5 minutes,"Too crowded during breaks, Price too high, Takes too much time",5,No,"No, but I plan to",I didn't know about it,"Discounts or loyalty rewards, Faster service / skip the line, Order history or favorites",5,
10/15/2025 23:53:42,1-2 times a week,Evening (after 16:00),Safia,3-5 minutes,Too crowded during breaks,4,No,"No, not interested",I prefer to order in person,Discounts or loyalty rewards,4,
10/15/2025 23:56:09,Everyday,Morning (8:00–10:00),Samad's coffee,more than 5 minutes,"Too crowded during breaks, Takes too much time",5,Yes,"Yes, once or twice",,Faster service / skip the line,5,
10/15/2025 23:59:56,Rarely,Late morning (10:00–12:00),Safia,more than 5 minutes,"Too crowded during breaks, Limited drink options, Price too high, Takes too much time",3,No,"No, but I plan to","I didn't know about it, I don't drink coffee often","Discounts or loyalty rewards, Faster service / skip the line, Option to customize drinks",4,
10/16/2025 0:04:21,Rarely,Late morning (10:00–12:00),Safia,3-5 minutes,Too crowded during breaks,5,Yes,"No, but I plan to",I didn't know about it,"Discounts or loyalty rewards, Faster service / skip the line",,
10/16/2025 0:12:37,1-2 times a week,Late morning (10:00–12:00),Safia,3-5 minutes,Price too high,5,No,"No, not interested","I didn't know about it, I prefer to order in person",,3,Snacks or sweets with coffee 
10/16/2025 0:25:39,Rarely,Morning (8:00–10:00),Safia,3-5 minutes,Too crowded during breaks,5,No,"No, but I plan to","I didn't know about it, I prefer to order in person","Discounts or loyalty rewards, Faster service / skip the line",4,
10/16/2025 0:31:06,1-2 times a week,Afternoon (12:00–16:00),Safia,more than 5 minutes,"Too crowded during breaks, Price too high",3,No,"No, not interested",I didn't know about it,Faster service / skip the line,3,
10/16/2025 0:39:39,Rarely,Afternoon (12:00–16:00),Samad's coffee,3-5 minutes,No problems,5,Yes,"No, but I plan to",I don't drink coffee often,"Discounts or loyalty rewards, Faster service / skip the line",4,
10/16/2025 0:40:10,Everyday,Evening (after 16:00),Azbi coffee,more than 5 minutes,No problems,5,No,,,,,
10/16/2025 0:49:20,Rarely,Late morning (10:00–12:00),Samad's coffee,3-5 minutes,No problems,5,No,"No, not interested","I didn't know about it, I prefer to order in person","Discounts or loyalty rewards, Option to customize drinks, Order history or favorites",5,more snacks
10/16/2025 3:04:40,Never,Morning (8:00–10:00),Outside of campus,3-5 minutes,Price too high,3,No,,,,,
10/16/2025 3:16:37,Never,Late morning (10:00–12:00),,more than 5 minutes,"Too crowded during breaks, Price too high, Takes too much time",3,Yes,"No, not interested",I don't drink coffee often,Faster service / skip the line,2,
10/16/2025 5:00:26,1-2 times a week,Late morning (10:00–12:00),Samad's coffee,3-5 minutes,"Too crowded during breaks, Price too high",5,No,"No, but I plan to",I didn't know about it,Faster service / skip the line,5,
10/16/2025 5:32:47,Rarely,Afternoon (12:00–16:00),Samad's coffee,1-2 minutes,No problems,5,No,,,Discounts or loyalty rewards,5,
10/16/2025 5:45:23,1-2 times a week,Late morning (10:00–12:00),Samad's coffee,3-5 minutes,"Too crowded during breaks, Price too high",5,Yes,"No, but I plan to",I prefer to order in person,"Discounts or loyalty rewards, Faster service / skip the line",5,I think everything is perfect
10/16/2025 6:00:17,Never,,,3-5 minutes,"Too crowded during breaks, Price too high",3,No,"No, but I plan to","I didn't know about it, I don't drink coffee often","Discounts or loyalty rewards, Faster service / skip the line",5,Tea
10/16/2025 6:42:47,Rarely,Late morning (10:00–12:00),Fretta,3-5 minutes,Too crowded during breaks,4,Yes,"No, but I plan to",I prefer to order in person,"Discounts or loyalty rewards, Faster service / skip the line",5,
10/16/2025 6:45:09,Rarely,Late morning (10:00–12:00),Fretta,1-2 minutes,Too crowded during breaks,4,Yes,"No, but I plan to",I prefer to order in person,"Discounts or loyalty rewards, Faster service / skip the line",4,
10/16/2025 7:19:50,1-2 times a week,Late morning (10:00–12:00),Samad's coffee,3-5 minutes,Too crowded during breaks,5,No,"No, but I plan to","I didn't know about it, I prefer to order in person","Discounts or loyalty rewards, Faster service / skip the line",5,
10/16/2025 7:23:12,1-2 times a week,Late morning (10:00–12:00),Safia,more than 5 minutes,Too crowded during breaks,5,Yes,"No, but I plan to",I didn't know about it,"Discounts or loyalty rewards, Faster service / skip the line, Option to customize drinks, Order history or favorites",4,snacks
10/16/2025 8:21:28,Everyday,,Samad's coffee,1-2 minutes,"Too crowded during breaks, Limited drink options, Price too high",4,No,"No, but I plan to",I didn't know about it,Faster service / skip the line,5,
10/16/2025 9:33:10,1-2 times a week,Afternoon (12:00–16:00),Azbi coffee,1-2 minutes,"Limited drink options, Price too high",4,No,"No, but I plan to",I didn't know about it,"Discounts or loyalty rewards, Faster service / skip the line, Option to customize drinks",,
10/16/2025 9:48:37,Rarely,Afternoon (12:00–16:00),Safia,3-5 minutes,"Too crowded during breaks, Limited drink options, Price too high",5,Yes,"No, but I plan to","I prefer to order in person, It seems complicated","Discounts or loyalty rewards, Faster service / skip the line",4,
10/16/2025 10:02:38,Rarely,Morning (8:00–10:00),Samad's coffee,more than 5 minutes,Too crowded during breaks,4,Yes,"No, but I plan to",It seems complicated,Order history or favorites,4,
10/16/2025 10:34:11,Everyday,Morning (8:00–10:00),Samad's coffee,3-5 minutes,No problems,5,Yes,"Yes, often",,,5,
10/16/2025 10:44:08,Rarely,Late morning (10:00–12:00),Azbi coffee,3-5 minutes,"Too crowded during breaks, Price too high, Takes too much time",3,No,"No, but I plan to",I didn't know about it,Discounts or loyalty rewards,3,
10/16/2025 12:30:54,Rarely,Afternoon (12:00–16:00),Safia,3-5 minutes,"Too crowded during breaks, Price too high",4,No,"No, not interested","I didn't know about it, It seems complicated, I don't drink coffee often","Discounts or loyalty rewards, Faster service / skip the line, Order history or favorites",5,
10/16/2025 12:49:58,Rarely,Late morning (10:00–12:00),Samad's coffee,1-2 minutes,No problems,5,Yes,"No, but I plan to",Ive just heard about it,Faster service / skip the line,5,More exotic drinks
10/16/2025 13:14:45,Rarely,Late morning (10:00–12:00),Samad's coffee,3-5 minutes,No problems,3,No,,"I didn't know about it, I prefer to order in person",Discounts or loyalty rewards,3,
10/16/2025 13:15:12,Rarely,Late morning (10:00–12:00),Safia,1-2 minutes,Too crowded during breaks,3,No,"No, not interested","I didn't know about it, I prefer to order in person, I don't drink coffee often",Discounts or loyalty rewards,4,
10/16/2025 13:54:49,Everyday,Late morning (10:00–12:00),Samad's coffee,1-2 minutes,Too crowded during breaks,5,Yes,"No, but I plan to",I prefer to order in person,"Discounts or loyalty rewards, Option to customize drinks",5,
10/16/2025 14:16:25,Rarely,Late morning (10:00–12:00),Samad's coffee,1-2 minutes,Too crowded during breaks,4,No,"No, but I plan to","I didn't know about it, I don't drink coffee often","Discounts or loyalty rewards, Faster service / skip the line, Option to customize drinks, Order history or favorites",4,
10/16/2025 14:27:13,Rarely,Morning (8:00–10:00),Fretta,3-5 minutes,"Too crowded during breaks, Price too high, Takes too much time",3,No,"No, but I plan to",I didn't know about it,"Discounts or loyalty rewards, Faster service / skip the line, Option to customize drinks",3,
10/16/2025 14:35:39,3-4 times a week,Late morning (10:00–12:00),Samad's coffee,3-5 minutes,Too crowded during breaks,5,Yes,"No, but I plan to",I prefer to order in person,"Discounts or loyalty rewards, Faster service / skip the line",5,
10/16/2025 14:37:16,Everyday,Morning (8:00–10:00),Samad's coffee,1-2 minutes,No problems,4,Yes,"Yes, once or twice",,Faster service / skip the line,4,
10/16/2025 14:39:29,Rarely,Late morning (10:00–12:00),Samad's coffee,3-5 minutes,Price too high,3,No,"No, not interested",I didn't know about it,Discounts or loyalty rewards,4,Lower prices 
10/16/2025 15:52:24,Rarely,Afternoon (12:00–16:00),B block stand with coffee,1-2 minutes,"Price too high, No problems",5,No,"No, not interested","I didn't know about it, I don't drink coffee often",,1,
10/16/2025 17:26:21,1-2 times a week,Late morning (10:00–12:00),Safia,3-5 minutes,Too crowded during breaks,4,No,"No, but I plan to",I prefer to order in person,"Discounts or loyalty rewards, Faster service / skip the line, Option to customize drinks, Order history or favorites",3,good
10/16/2025 17:48:53,1-2 times a week,Morning (8:00–10:00),Samad's coffee,3-5 minutes,Too crowded during breaks,4,No,,"I didn't know about it, I prefer to order in person","Discounts or loyalty rewards, Faster service / skip the line, Option to customize drinks",5,
10/17/2025 13:36:33,1-2 times a week,Afternoon (12:00–16:00),Fretta,3-5 minutes,Too crowded during breaks,4,No,,,,,
10/22/2025 13:09:59,Never,,,,,4,No,,,,,
10/22/2025 16:00:44,Rarely,Late morning (10:00–12:00),Safia,3-5 minutes,Too crowded during breaks,4,No,"No, not interested","I didn't know about it, I prefer to order in person, It seems complicated","Discounts or loyalty rewards, Faster service / skip the line",4,
10/22/2025 16:02:20,1-2 times a week,Afternoon (12:00–16:00),Samad's coffee,3-5 minutes,"Too crowded during breaks, Limited drink options",4,Yes,"Yes, once or twice",I prefer to order in person,Faster service / skip the line,5,Sugar free options 
10/22/2025 16:05:35,1-2 times a week,Late morning (10:00–12:00),Samad's coffee,3-5 minutes,No problems,4,No,"No, not interested",I prefer to order in person,Discounts or loyalty rewards,4,
10/22/2025 16:06:10,1-2 times a week,Afternoon (12:00–16:00),Samad's coffee,more than 5 minutes,"Too crowded during breaks, Takes too much time",5,Yes,"No, but I plan to",It seems complicated,Faster service / skip the line,5,
10/22/2025 16:07:08,Rarely,Morning (8:00–10:00),Samad's coffee,1-2 minutes,"Too crowded during breaks, Price too high",5,Yes,"No, but I plan to",I don't drink coffee often,"Discounts or loyalty rewards, Faster service / skip the line",5,
10/22/2025 16:09:45,Rarely,Afternoon (12:00–16:00),Samad's coffee,3-5 minutes,Too crowded during breaks,5,No,,I didn't know about it,"Discounts or loyalty rewards, Faster service / skip the line",5,
10/22/2025 16:11:32,1-2 times a week,Morning (8:00–10:00),Safia,1-2 minutes,Too crowded during breaks,3,No,"No, but I plan to",I didn't know about it,Faster service / skip the line,4,Wanna cookies too
10/22/2025 16:11:51,3-4 times a week,Late morning (10:00–12:00),Samad's coffee,1-2 minutes,"Too crowded during breaks, Price too high",4,Yes,"Yes, once or twice",,"Discounts or loyalty rewards, Faster service / skip the line",5,
10/22/2025 16:12:11,Rarely,Morning (8:00–10:00),Azbi coffee,1-2 minutes,No problems,5,No,"No, not interested",I didn't know about it,Discounts or loyalty rewards,1,
10/22/2025 16:19:00,Everyday,Late morning (10:00–12:00),Samad's coffee,3-5 minutes,"Too crowded during breaks, Price too high",5,Yes,"Yes, once or twice",I prefer to order in person,Faster service / skip the line,5,"He added new snacks, and it's good))"
10/22/2025 16:30:55,Rarely,Afternoon (12:00–16:00),Samad's coffee,3-5 minutes,Too crowded during breaks,4,Yes,"No, but I plan to",I don't drink coffee often,Discounts or loyalty rewards,4,
10/22/2025 16:31:33,1-2 times a week,Late morning (10:00–12:00),Fretta,3-5 minutes,"Too crowded during breaks, Price too high, Takes too much time",4,No,"No, but I plan to",I didn't know about it,"Discounts or loyalty rewards, Order history or favorites",4,
10/22/2025 16:34:45,Rarely,Afternoon (12:00–16:00),Safia,3-5 minutes,"Too crowded during breaks, Price too high",4,No,"No, but I plan to","I didn't know about it, I don't drink coffee often","Discounts or loyalty rewards, Faster service / skip the line, Option to customize drinks, Order history or favorites",4,
10/22/2025 16:46:52,Never,,,,,5,Yes,,,,5,
10/22/2025 16:47:29,1-2 times a week,Afternoon (12:00–16:00),Safia,3-5 minutes,"Too crowded during breaks, Limited drink options, Price too high, Takes too much time",3,No,"No, not interested",I didn't know about it,"Discounts or loyalty rewards, Faster service / skip the line, Option to customize drinks, Order history or favorites",3,
10/22/2025 16:52:37,Never,,,,No problems,2,No,"No, but I plan to",,,,
10/22/2025 17:12:13,Never,,,,,1,No,,,,,
10/22/2025 17:14:17,Rarely,Late morning (10:00–12:00),Safia,3-5 minutes,"Too crowded during breaks, Price too high, Takes too much time",5,No,"No, but I plan to","I didn't know about it, I prefer to order in person, I don't drink coffee often","Discounts or loyalty rewards, Faster service / skip the line, Option to customize drinks",4,No comment 
10/22/2025 19:04:42,1-2 times a week,Late morning (10:00–12:00),Azbi coffee,3-5 minutes,"Too crowded during breaks, Price too high",4,No,"No, but I plan to",I didn't know about it,,,
10/22/2025 19:11:35,1-2 times a week,Late morning (10:00–12:00),Samad's coffee,1-2 minutes,No problems,5,Yes,"No, but I plan to",I prefer to order in person,"Discounts or loyalty rewards, Faster service / skip the line",5,
10/22/2025 20:21:57,Never,Morning (8:00–10:00),Samad's coffee,3-5 minutes,"Too crowded during breaks, Price too high",2,No,"No, not interested",I don't drink coffee often,Discounts or loyalty rewards,3,
10/23/2025 1:33:05,Rarely,Late morning (10:00–12:00),Safia,3-5 minutes,Price too high,5,Yes,"No, but I plan to","I didn't know about it, I don't drink coffee often",Discounts or loyalty rewards,5,Decrease price😂
10/23/2025 8:33:06,1-2 times a week,Morning (8:00–10:00),Samad's coffee,3-5 minutes,Takes too much time,5,Yes,"No, but I plan to",I don't drink coffee often,Faster service / skip the line,4,_
10/23/2025 8:59:27,Rarely,Morning (8:00–10:00),Samad's coffee,3-5 minutes,Too crowded during breaks,4,No,"No, not interested",I didn't know about it,Faster service / skip the line,4,
10/23/2025 11:44:39,Everyday,Late morning (10:00–12:00),Samad's coffee,3-5 minutes,"Too crowded during breaks, Price too high",4,Yes,"Yes, once or twice",,"Faster service / skip the line, Option to customize drinks",4,
10/23/2025 23:28:40,1-2 times a week,Evening (after 16:00),Samad's coffee,1-2 minutes,Too crowded during breaks,5,No,"No, but I plan to",I didn't know about it,Faster service / skip the line,5,
10/24/2025 22:16:05,1-2 times a week,Afternoon (12:00–16:00),Safia,3-5 minutes,"Too crowded during breaks, Price too high",3,No,"No, but I plan to",It seems complicated,Discounts or loyalty rewards,3,
10/26/2025 17:32:27,1-2 times a week,Late morning (10:00–12:00),Samad's coffee,3-5 minutes,"Price too high, No problems",4,Yes,"No, but I plan to",It seems complicated,,4,
11/4/2025 21:07:38,Rarely,Morning (8:00–10:00),Fretta,3-5 minutes,Price too high,4,No,"No, not interested",I don't drink coffee often,"Discounts or loyalty rewards, Faster service / skip the line, Option to customize drinks, Order history or favorites",4,
11/4/2025 21:08:02,Rarely,Late morning (10:00–12:00),Safia,more than 5 minutes,Too crowded during breaks,3,No,"No, but I plan to",I didn't know about it,"Discounts or loyalty rewards, Faster service / skip the line",3,No comments
11/4/2025 21:22:47,1-2 times a week,Afternoon (12:00–16:00),Safia,3-5 minutes,"Too crowded during breaks, Price too high",4,No,"No, not interested","I didn't know about it, I prefer to order in person","Discounts or loyalty rewards, Faster service / skip the line",3,
11/4/2025 21:36:34,Rarely,Afternoon (12:00–16:00),Samad's coffee,1-2 minutes,No problems,5,No,,I didn't know about it,Faster service / skip the line,5,INHA&Coffee   LOOOOOOOVVEEEEE ❤️‍🔥❤️‍🔥❤️‍🔥
11/4/2025 21:39:42,Rarely,Morning (8:00–10:00),Samad's coffee,1-2 minutes,"Too crowded during breaks, Price too high, Takes too much time",5,Yes,"No, not interested",I don't drink coffee often,"Discounts or loyalty rewards, Faster service / skip the line",5,Все окей 
11/4/2025 21:53:03,Rarely,Late morning (10:00–12:00),Samad's coffee,3-5 minutes,"Too crowded during breaks, Price too high, Takes too much time",5,Yes,"No, but I plan to","I prefer to order in person, It seems complicated","Discounts or loyalty rewards, Faster service / skip the line, Order history or favorites",4,
11/4/2025 22:07:00,Rarely,Late morning (10:00–12:00),Samad's coffee,3-5 minutes,Price too high,4,No,"No, but I plan to",I didn't know about it,Discounts or loyalty rewards,5,
11/4/2025 23:38:13,Never,Morning (8:00–10:00),Elf burger,1-2 minutes,Price too high,1,No,"No, not interested",I didn't know about it,Option to customize drinks,1,
11/5/2025 11:41:57,Rarely,Morning (8:00–10:00),Fretta,1-2 minutes,"Too crowded during breaks, Price too high",2,No,"No, but I plan to",I didn't know about it,"Discounts or loyalty rewards, Faster service / skip the line, Option to customize drinks",3,
11/14/2025 12:26:14,Never,,,,,5,Yes,,I prefer to order in person,"Discounts or loyalty rewards, Faster service / skip the line",5,
